platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,,LC WAIKIKI,LC WAIKIKI,Boys Fashion,EGP 999.00,,,5.0,,,,,https://m.media-amazon.com/images/I/31-3a4eYEJL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0G4X8WQNM,2026-03-28T00:56:38.335181
amazon,,Meza,Meza,Boys Fashion,EGP 424.15,EGP 499.00,,2.8,List:,,,,https://m.media-amazon.com/images/I/61gD0SmDXCL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0G1NF15MT,2026-03-28T00:56:38.335972
amazon,,Domeso,Domeso,Boys Fashion,EGP 649.00,,,,,,,,https://m.media-amazon.com/images/I/61VTruorxML._AC_UL320_.jpg,https://www.amazon.eg/dp/B0GQQQPDC5,2026-03-28T00:56:38.336483
amazon,,Cottonil,Cottonil,Boys Fashion,EGP 451.00,EGP 659.00,,4.6,List:,,,,https://m.media-amazon.com/images/I/71lBCGiHVaL._AC_UL320_.jpg,https://www.amazon.eg/dp/B09LMLDJMM,2026-03-28T00:56:38.337153
amazon,,adidas,adidas,Boys Fashion,EGP 738.00,"EGP 1,199.00",,4.7,List:,,,,https://m.media-amazon.com/images/I/61mgnE-YKgL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CZP3ZDLQ,2026-03-28T00:56:38.337847
amazon,,LC WAIKIKI,LC WAIKIKI,Boys Fashion,EGP 311.00,,,,,,,,https://m.media-amazon.com/images/I/61wnUMYNq0L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0GS2NNY7V,2026-03-28T00:56:38.338360
amazon,,Cottonil,Cottonil,Boys Fashion,EGP 329.00,EGP 389.00,,4.0,List:,,,,https://m.media-amazon.com/images/I/41fbGeaVAPL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FXC5YLCX,2026-03-28T00:56:38.338953
amazon,,Meza,Meza,Boys Fashion,EGP 355.00,,,2.3,,,,,https://m.media-amazon.com/images/I/51LJaTfdZ4L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FXB3S9Z6,2026-03-28T00:56:38.339605
amazon,,Zona Kids,Zona Kids,Boys Fashion,EGP 249.00,,,,,,,,https://m.media-amazon.com/images/I/71Nw2JaVf4L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0GPSBN33Z,2026-03-28T00:56:38.340031
amazon,,Buongiorno,Buongiorno,Boys Fashion,EGP 849.50,,,,,,,,https://m.media-amazon.com/images/I/31nj5Tu5xKL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0GQ5W9BHW,2026-03-28T00:56:38.340522
amazon,,Andora,Andora,Boys Fashion,EGP 439.00,,,4.1,,,,,https://m.media-amazon.com/images/I/51aVXWFcCxL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DCTRYFBP,2026-03-28T00:56:38.341166
amazon,,CAESAR,CAESAR,Boys Fashion,EGP 368.00,EGP 439.00,,3.6,List:,,,,https://m.media-amazon.com/images/I/51yxVCx0ocL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CCMLFNDC,2026-03-28T00:56:38.341766
amazon,,Elsayaad,Elsayaad,Boys Fashion,EGP 64.00,EGP 109.00,,4.5,List:,,,,https://m.media-amazon.com/images/I/416YwDdROzL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0968Z6S8K,2026-03-28T00:56:38.342379
amazon,,Andora,Andora,Boys Fashion,EGP 163.67,EGP 249.00,,4.3,List:,,,,https://m.media-amazon.com/images/I/61d734+p3BL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DCTQY2VH,2026-03-28T00:56:38.343074
amazon,,adidas,adidas,Boys Fashion,EGP 475.00,,,4.7,,,,,https://m.media-amazon.com/images/I/71enoexHBtL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0BKZZ5BHC,2026-03-28T00:56:38.343655
amazon,,LC WAIKIKI,LC WAIKIKI,Boys Fashion,EGP 209.00,EGP 299.00,,4.6,Was:,,,,https://m.media-amazon.com/images/I/61x0Fldz0xL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0G5436MBL,2026-03-28T00:56:38.344289
amazon,,Andora,Andora,Boys Fashion,EGP 415.00,,,3.4,,,,,https://m.media-amazon.com/images/I/51ryNuFTwCL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DCTR44MT,2026-03-28T00:56:38.344912
amazon,,LC WAIKIKI,LC WAIKIKI,Boys Fashion,EGP 323.00,EGP 359.00,,3.2,Was:,,,,https://m.media-amazon.com/images/I/71HUL6ZSnnL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FW5GR6R2,2026-03-28T00:56:38.345536
amazon,,CAESAR,CAESAR,Boys Fashion,EGP 368.00,EGP 439.00,,3.3,List:,,,,https://m.media-amazon.com/images/I/51+uZId9ItL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CCMMC6N8,2026-03-28T00:56:38.346140
amazon,,LC WAIKIKI,LC WAIKIKI,Boys Fashion,EGP 224.00,EGP 249.00,,,Was:,,,,https://m.media-amazon.com/images/I/41HdU+rLAbL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0G53ZNGKR,2026-03-28T00:56:38.346689
